START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
0.050,0.10
0.139,0.20
0.227,0.30
0.316,0.40
0.405,0.50
0.493,0.60
0.581,0.70
0.670,0.80
0.760,0.90
0.850,1.00
0.940,1.10
1.032,1.20
1.125,1.30
1.217,1.40
1.310,1.50
1.403,1.60
1.496,1.70
1.589,1.80
1.683,1.90
1.777,2.00
1.872,2.10
1.968,2.20
2.065,2.30
2.161,2.40
2.258,2.50
2.355,2.60
2.452,2.70
2.549,2.80
2.646,2.90
2.742,3.00
2.838,3.10
2.935,3.20
3.032,3.30
3.129,3.40
3.225,3.50
3.321,3.60
3.417,3.70
3.514,3.80
3.611,3.90
3.708,4.00
3.805,4.10
3.904,4.20
4.002,4.30
4.099,4.40
4.196,4.50
4.292,4.60
4.388,4.70
4.485,4.80
4.582,4.90
4.679,5.00
4.776,5.10
4.875,5.20
4.973,5.30
5.070,5.40
5.167,5.50
5.262,5.60
5.358,5.70
5.454,5.80
5.550,5.90
5.646,6.00
5.742,6.10
5.840,6.20
5.938,6.30
6.036,6.40
6.134,6.50
6.232,6.60
6.330,6.70
6.429,6.80
6.528,6.90
6.627,7.00
6.726,7.10
6.826,7.20
6.925,7.30
7.023,7.40
7.121,7.50
7.218,7.60
7.316,7.70
7.413,7.80
7.511,7.90
7.609,8.00
7.707,8.10
7.807,8.20
7.906,8.30
8.006,8.40
8.106,8.50
8.204,8.60
8.303,8.70
8.402,8.80
8.502,8.90
8.601,9.00
8.701,9.10
8.801,9.20
8.902,9.30
9.002,9.40
9.101,9.50
9.199,9.60
9.297,9.70
9.396,9.80
9.495,9.90
9.594,10.00
9.693,10.10
9.793,10.20
9.892,10.30
9.990,10.40
10.088,10.50
10.184,10.60
10.281,10.70
10.378,10.80
10.475,10.90
10.572,11.00
10.668,11.10
10.766,11.20
10.863,11.30
10.958,11.40
11.054,11.50
11.148,11.60
11.242,11.70
11.337,11.80
11.432,11.90
11.527,12.00
11.622,12.10
11.719,12.20
11.816,12.30
11.913,12.40
12.010,12.50
12.107,12.60
12.203,12.70
12.300,12.80
12.397,12.90
12.493,13.00
12.590,13.10
12.688,13.20
12.785,13.30
12.881,13.40
12.977,13.50
13.073,13.60
13.168,13.70
13.265,13.80
13.362,13.90
13.459,14.00
13.556,14.10
13.654,14.20
13.752,14.30
13.849,14.40
13.945,14.50
14.041,14.60
14.137,14.70
14.234,14.80
14.331,14.90
14.429,15.00
14.526,15.10
14.624,15.20
14.722,15.30
14.818,15.40
14.914,15.50
15.009,15.60
15.104,15.70
15.199,15.80
15.294,15.90
15.389,16.00
15.484,16.10
15.580,16.20
15.676,16.30
15.771,16.40
15.866,16.50
15.961,16.60
16.056,16.70
16.152,16.80
16.249,16.90
16.345,17.00
16.442,17.10
16.540,17.20
16.639,17.30
16.738,17.40
16.837,17.50
16.936,17.60
17.035,17.70
17.135,17.80
17.236,17.90
17.336,18.00
17.438,18.10
17.540,18.20
17.643,18.30
17.746,18.40
17.849,18.50
17.952,18.60
18.055,18.70
18.159,18.80
18.262,18.90
18.365,19.00
18.468,19.10
18.572,19.20
18.676,19.30
18.779,19.40
18.881,19.50
18.982,19.60
19.084,19.70
19.186,19.80
19.288,19.90
19.390,20.00
19.491,20.10
19.593,20.20
19.695,20.30
19.795,20.40
19.894,20.50
19.993,20.60
20.092,20.70
20.192,20.80
20.292,20.90
20.391,21.00
20.491,21.10
20.591,21.20
20.690,21.30
20.789,21.40
20.887,21.50
20.984,21.60
21.081,21.70
21.178,21.80
21.276,21.90
21.374,22.00
21.473,22.10
21.572,22.20
21.672,22.30
21.772,22.40
21.872,22.50
21.970,22.60
22.069,22.70
22.169,22.80
22.269,22.90
22.369,23.00
22.468,23.10
22.569,23.20
22.669,23.30
22.768,23.40
22.867,23.50
22.964,23.60
23.062,23.70
23.160,23.80
23.259,23.90
23.356,24.00
23.455,24.10
23.554,24.20
23.652,24.30
23.749,24.40
23.846,24.50
23.942,24.60
24.037,24.70
24.133,24.80
24.230,24.90
24.325,25.00
24.421,25.10
24.519,25.20
24.616,25.30
24.714,25.40
24.812,25.50
24.909,25.60
25.006,25.70
25.104,25.80
25.203,25.90
25.301,26.00
25.398,26.10
25.497,26.20
25.595,26.30
25.691,26.40
25.788,26.50
25.883,26.60
25.979,26.70
26.076,26.80
26.173,26.90
26.270,27.00
26.367,27.10
26.465,27.20
26.562,27.30
26.659,27.40
26.756,27.50
26.851,27.60
26.947,27.70
27.043,27.80
27.139,27.90
27.236,28.00
27.333,28.10
27.431,28.20
27.529,28.30
27.628,28.40
27.727,28.50
27.825,28.60
27.924,28.70
28.023,28.80
28.122,28.90
28.222,29.00
28.322,29.10
28.423,29.20
28.525,29.30
28.627,29.40
28.730,29.50
28.832,29.60
28.934,29.70
29.037,29.80
29.140,29.90
29.244,30.00
29.347,30.10
29.453,30.20
29.558,30.30
29.664,30.40
29.769,30.50
29.875,30.60
29.980,30.70
30.086,30.80
30.192,30.90
30.298,31.00
30.403,31.10
30.510,31.20
30.616,31.30
30.721,31.40
30.825,31.50
30.928,31.60
31.032,31.70
31.135,31.80
31.239,31.90
31.343,32.00
31.448,32.10
31.553,32.20
31.658,32.30
31.763,32.40
31.869,32.50
31.973,32.60
32.078,32.70
32.183,32.80
32.289,32.90
32.394,33.00
32.500,33.10
32.606,33.20
32.712,33.30
32.818,33.40
32.923,33.50
33.026,33.60
33.131,33.70
33.235,33.80
33.340,33.90
33.445,34.00
33.550,34.10
33.656,34.20
33.763,34.30
33.870,34.40
33.977,34.50
34.083,34.60
34.189,34.70
34.295,34.80
34.403,34.90
34.510,35.00
34.616,35.10
34.724,35.20
34.831,35.30
34.937,35.40
35.043,35.50
35.148,35.60
35.253,35.70
35.359,35.80
35.465,35.90
35.571,36.00
35.677,36.10
35.784,36.20
35.890,36.30
35.996,36.40
36.101,36.50
36.204,36.60
36.308,36.70
36.412,36.80
36.516,36.90
36.619,37.00
36.723,37.10
36.828,37.20
36.932,37.30
37.037,37.40
37.142,37.50
37.247,37.60
37.351,37.70
37.457,37.80
37.562,37.90
37.668,38.00
37.773,38.10
37.880,38.20
37.986,38.30
38.091,38.40
38.196,38.50
38.300,38.60
38.404,38.70
38.508,38.80
38.614,38.90
38.719,39.00
38.824,39.10
38.931,39.20
39.037,39.30
39.142,39.40
39.247,39.50
39.350,39.60
39.453,39.70
39.556,39.80
39.658,39.90
39.760,40.00
39.863,40.10
39.967,40.20
40.070,40.30
40.172,40.40
40.275,40.50
40.376,40.60
40.478,40.70
40.580,40.80
40.683,40.90
40.785,41.00
40.889,41.10
40.993,41.20
41.098,41.30
41.203,41.40
41.308,41.50
41.413,41.60
41.517,41.70
41.623,41.80
41.728,41.90
41.834,42.00
41.940,42.10
42.047,42.20
42.155,42.30
42.263,42.40
42.371,42.50
42.478,42.60
42.586,42.70
42.694,42.80
42.803,42.90
42.911,43.00
43.019,43.10
43.128,43.20
43.237,43.30
43.345,43.40
43.453,43.50
43.559,43.60
43.667,43.70
43.774,43.80
43.882,43.90
43.990,44.00
44.098,44.10
44.207,44.20
44.316,44.30
44.424,44.40
44.532,44.50
44.638,44.60
44.745,44.70
44.853,44.80
44.960,44.90
45.067,45.00
45.175,45.10
45.283,45.20
45.391,45.30
45.498,45.40
45.604,45.50
45.709,45.60
45.814,45.70
45.920,45.80
46.026,45.90
46.132,46.00
46.238,46.10
46.346,46.20
46.454,46.30
46.563,46.40
46.671,46.50
46.778,46.60
46.885,46.70
46.994,46.80
47.102,46.90
47.211,47.00
47.320,47.10
47.431,47.20
47.542,47.30
47.653,47.40
47.765,47.50
47.876,47.60
47.988,47.70
48.099,47.80
48.211,47.90
48.322,48.00
48.434,48.10
48.547,48.20
48.660,48.30
48.772,48.40
48.883,48.50
48.993,48.60
49.103,48.70
49.213,48.80
49.324,48.90
49.435,49.00
49.546,49.10
49.658,49.20
49.769,49.30
49.880,49.40
49.991,49.50
50.100,49.60
50.210,49.70
50.320,49.80
50.431,49.90
50.541,50.00
50.651,50.10
50.762,50.20
50.872,50.30
50.980,50.40
51.088,50.50
51.195,50.60
51.302,50.70
51.410,50.80
51.517,50.90
51.625,51.00
51.733,51.10
51.842,51.20
51.952,51.30
52.062,51.40
52.172,51.50
52.282,51.60
52.391,51.70
52.501,51.80
52.612,51.90
52.722,52.00
52.833,52.10
52.944,52.20
53.056,52.30
53.166,52.40
53.276,52.50
53.384,52.60
53.493,52.70
53.603,52.80
53.713,52.90
53.823,53.00
53.934,53.10
54.046,53.20
54.159,53.30
54.272,53.40
54.385,53.50
54.498,53.60
54.611,53.70
54.724,53.80
54.838,53.90
54.952,54.00
55.067,54.10
55.182,54.20
55.297,54.30
55.412,54.40
55.526,54.50
55.639,54.60
55.752,54.70
55.866,54.80
55.980,54.90
56.095,55.00
56.210,55.10
56.327,55.20
56.445,55.30
56.562,55.40
56.680,55.50
56.798,55.60
56.917,55.70
57.035,55.80
57.154,55.90
57.272,56.00
57.391,56.10
57.511,56.20
57.631,56.30
57.750,56.40
57.870,56.50
57.988,56.60
58.106,56.70
58.224,56.80
58.343,56.90
58.462,57.00
58.580,57.10
58.700,57.20
58.819,57.30
58.937,57.40
59.055,57.50
59.172,57.60
59.289,57.70
59.406,57.80
59.525,57.90
59.642,58.00
59.761,58.10
59.880,58.20
60.000,58.30
60.120,58.40
60.239,58.50
60.357,58.60
60.475,58.70
60.594,58.80
60.713,58.90
60.832,59.00
60.952,59.10
61.073,59.20
61.193,59.30
61.312,59.40
61.430,59.50
61.546,59.60
61.663,59.70
61.780,59.80
61.898,59.90
62.015,60.00
62.134,60.10
62.253,60.20
62.373,60.30
62.493,60.40
62.612,60.50
62.732,60.60
62.851,60.70
62.971,60.80
63.092,60.90
63.212,61.00
63.331,61.10
63.452,61.20
63.572,61.30
63.691,61.40
63.809,61.50
63.926,61.60
64.043,61.70
64.161,61.80
64.280,61.90
64.398,62.00
64.516,62.10
64.636,62.20
64.755,62.30
64.872,62.40
64.989,62.50
65.106,62.60
65.222,62.70
65.338,62.80
65.455,62.90
65.572,63.00
65.689,63.10
65.807,63.20
65.924,63.30
66.042,63.40
66.159,63.50
66.275,63.60
66.391,63.70
66.507,63.80
66.624,63.90
66.740,64.00
66.857,64.10
66.976,64.20
67.096,64.30
67.215,64.40
67.335,64.50
67.454,64.60
67.573,64.70
67.693,64.80
67.814,64.90
67.933,65.00
68.053,65.10
68.173,65.20
68.292,65.30
68.410,65.40
68.528,65.50
68.643,65.60
68.759,65.70
68.875,65.80
68.992,65.90
69.108,66.00
69.224,66.10
69.341,66.20
69.458,66.30
69.575,66.40
69.691,66.50
69.807,66.60
69.923,66.70
70.038,66.80
70.154,66.90
70.270,67.00
70.387,67.10
70.505,67.20
70.623,67.30
70.741,67.40
70.860,67.50
70.977,67.60
71.095,67.70
71.214,67.80
71.332,67.90
71.451,68.00
71.569,68.10
71.689,68.20
71.809,68.30
71.928,68.40
72.045,68.50
72.162,68.60
72.278,68.70
72.395,68.80
72.513,68.90
72.630,69.00
72.748,69.10
72.866,69.20
72.985,69.30
73.102,69.40
73.219,69.50
73.334,69.60
73.450,69.70
73.566,69.80
73.683,69.90
73.800,70.00
73.917,70.10
74.036,70.20
74.153,70.30
74.270,70.40
74.387,70.50
74.502,70.60
74.618,70.70
74.735,70.80
74.852,70.90
74.970,71.00
75.089,71.10
75.210,71.20
75.331,71.30
75.453,71.40
75.575,71.50
75.697,71.60
75.818,71.70
75.941,71.80
76.063,71.90
76.186,72.00
76.310,72.10
76.435,72.20
76.561,72.30
76.686,72.40
76.809,72.50
76.931,72.60
77.053,72.70
77.175,72.80
77.298,72.90
77.421,73.00
77.544,73.10
77.668,73.20
77.792,73.30
77.915,73.40
78.037,73.50
78.159,73.60
78.280,73.70
78.402,73.80
78.524,73.90
78.647,74.00
78.769,74.10
78.892,74.20
79.015,74.30
79.136,74.40
79.256,74.50
79.374,74.60
79.493,74.70
79.612,74.80
79.731,74.90
79.850,75.00
79.970,75.10
80.091,75.20
80.212,75.30
80.331,75.40
80.450,75.50
80.568,75.60
80.685,75.70
80.803,75.80
80.921,75.90
81.040,76.00
81.159,76.10
81.280,76.20
81.401,76.30
81.523,76.40
81.645,76.50
81.766,76.60
81.887,76.70
82.010,76.80
82.132,76.90
82.254,77.00
82.378,77.10
82.503,77.20
82.628,77.30
82.753,77.40
82.879,77.50
83.003,77.60
83.126,77.70
83.250,77.80
83.375,77.90
83.499,78.00
83.624,78.10
83.750,78.20
83.877,78.30
84.003,78.40
84.130,78.50
84.256,78.60
84.381,78.70
84.506,78.80
84.632,78.90
84.757,79.00
84.883,79.10
85.011,79.20
85.138,79.30
85.265,79.40
85.392,79.50
85.518,79.60
85.644,79.70
85.770,79.80
85.896,79.90
86.022,80.00
86.149,80.10
86.278,80.20
86.407,80.30
86.536,80.40
86.665,80.50
86.793,80.60
86.921,80.70
87.050,80.80
87.179,80.90
87.309,81.00
87.439,81.10
87.571,81.20
87.703,81.30
87.835,81.40
87.967,81.50
88.099,81.60
88.231,81.70
88.362,81.80
88.492,81.90
88.623,82.00
88.754,82.10
88.886,82.20
89.016,82.30
89.145,82.40
89.272,82.50
89.398,82.60
89.523,82.70
89.648,82.80
89.774,82.90
89.899,83.00
90.025,83.10
90.152,83.20
90.278,83.30
90.402,83.40
90.526,83.50
90.648,83.60
90.770,83.70
90.892,83.80
91.014,83.90
91.136,84.00
91.258,84.10
91.382,84.20
91.507,84.30
91.632,84.40
91.756,84.50
91.880,84.60
92.004,84.70
92.129,84.80
92.254,84.90
92.379,85.00
92.505,85.10
92.632,85.20
92.760,85.30
92.887,85.40
93.016,85.50
93.143,85.60
93.270,85.70
93.396,85.80
93.522,85.90
93.648,86.00
93.774,86.10
93.901,86.20
94.028,86.30
94.155,86.40
94.281,86.50
94.407,86.60
94.532,86.70
94.657,86.80
94.783,86.90
94.909,87.00
95.035,87.10
95.161,87.20
95.287,87.30
95.411,87.40
95.534,87.50
95.656,87.60
95.778,87.70
95.900,87.80
96.023,87.90
96.146,88.00
96.269,88.10
96.393,88.20
96.517,88.30
96.640,88.40
96.761,88.50
96.882,88.60
97.003,88.70
97.125,88.80
97.247,88.90
97.369,89.00
97.492,89.10
97.616,89.20
97.740,89.30
97.863,89.40
97.986,89.50
98.107,89.60
98.228,89.70
98.350,89.80
98.472,89.90
98.594,90.00
98.716,90.10
98.840,90.20
98.962,90.30
99.083,90.40
99.203,90.50
99.322,90.60
99.442,90.70
99.561,90.80
99.681,90.90
99.802,91.00
99.922,91.10
100.044,91.20
