NA RECORDING at 22/02/2021 15:02:26,
Elapsed(sec),Counter
2388.989,0.1
2389.695,0.2
2390.319,0.3
2392.723,0.4
2393.627,0.5
2394.223,0.6
2394.735,0.7
2395.242,0.8
2395.819,0.9
2396.9,1
2397.605,1.1
2398.119,1.2
2398.651,1.3
2399.312,1.4
2401.323,1.5
2402.332,1.6
2403.021,1.7
2403.673,1.8
2404.469,1.9
2406.564,2
2407.807,2.1
2408.64,2.2
2409.512,2.3
2411.725,2.4
2413.039,2.5
2414.101,2.6
2416.782,2.7
2418.354,2.8
2420.389,2.9
2422.248,3
2424.311,3.1
2427.765,3.2
3379.474,3.3
3380.823,3.4
3384.008,3.5
3385.324,3.6
3387.805,3.7
3389.809,3.8
3393.359,3.9
3395.624,4
3399.687,4.1
3406.346,4.2
3409.59,4.3
3419.977,4.4
3430.352,4.5
3491.517,4.6
3492.462,4.7
3493.263,4.8
3494.643,4.9
3496.409,5
3497.451,5.1
3499.484,5.2
3500.824,5.3
3505.123,5.4
3508.318,5.5
3515.185,5.6
3744.821,5.7
4247.017,5.8
4257.588,5.9
4391.103,6
4678.169,6.1
4986.995,6.2
4997.632,6.3
5321.128,6.4
5688.441,6.5
5690.755,6.6
5692.589,6.7
5694.401,6.8
5697.838,6.9
5700.263,7
5703.774,7.1
5923.331,7.2
5924.106,7.3
5924.578,7.4
5924.975,7.5
5925.334,7.6
5925.677,7.7
5926.03,7.8
5926.386,7.9
5926.734,8
5927.08,8.1
5927.437,8.2
5927.824,8.3
5928.277,8.4
5928.884,8.5
5930.006,8.6
5934.856,8.7
5936.453,8.8
5937.393,8.9
5938.169,9
5938.956,9.1
5940.086,9.2
5942.664,9.3
5944.516,9.4
5949.904,9.5
5951.984,9.6
6346.369,9.7
6355.623,9.8
