START RECORDING at 22/02/2021 15:02:26
Elapsed(sec),Counter
0.027,0.10
0.161,0.20
0.295,0.30
0.430,0.40
0.565,0.50
0.700,0.60
0.834,0.70
0.966,0.80
1.098,0.90
1.228,1.00
1.359,1.10
1.488,1.20
1.620,1.30
1.753,1.40
1.888,1.50
2.024,1.60
2.160,1.70
2.295,1.80
2.430,1.90
2.564,2.00
2.697,2.10
2.831,2.20
2.966,2.30
3.103,2.40
3.240,2.50
3.378,2.60
3.515,2.70
3.652,2.80
3.788,2.90
3.921,3.00
4.055,3.10
4.188,3.20
4.321,3.30
4.458,3.40
4.594,3.50
4.730,3.60
4.867,3.70
5.003,3.80
5.138,3.90
5.272,4.00
5.406,4.10
5.540,4.20
5.674,4.30
5.811,4.40
5.949,4.50
6.087,4.60
6.225,4.70
6.364,4.80
6.502,4.90
6.639,5.00
6.776,5.10
6.912,5.20
7.050,5.30
7.192,5.40
7.335,5.50
7.479,5.60
7.624,5.70
7.769,5.80
7.914,5.90
8.057,6.00
8.200,6.10
8.342,6.20
8.484,6.30
8.629,6.40
8.775,6.50
8.923,6.60
9.071,6.70
9.219,6.80
9.366,6.90
9.513,7.00
9.659,7.10
9.807,7.20
9.956,7.30
10.108,7.40
10.260,7.50
10.413,7.60
10.566,7.70
10.716,7.80
10.866,7.90
11.014,8.00
11.160,8.10
11.305,8.20
11.451,8.30
11.601,8.40
11.751,8.50
11.901,8.60
12.051,8.70
12.200,8.80
12.349,8.90
12.495,9.00
12.641,9.10
12.785,9.20
12.931,9.30
13.080,9.40
13.229,9.50
13.380,9.60
13.530,9.70
13.679,9.80
13.827,9.90
13.974,10.00
14.121,10.10
14.268,10.20
14.417,10.30
14.570,10.40
14.723,10.50
14.879,10.60
15.034,10.70
15.188,10.80
15.341,10.90
15.493,11.00
15.643,11.10
15.793,11.20
15.943,11.30
16.095,11.40
16.247,11.50
16.400,11.60
16.553,11.70
16.704,11.80
16.854,11.90
17.002,12.00
17.148,12.10
17.292,12.20
17.437,12.30
17.585,12.40
17.734,12.50
17.883,12.60
18.032,12.70
18.181,12.80
18.328,12.90
18.473,13.00
18.617,13.10
18.759,13.20
18.903,13.30
19.050,13.40
19.198,13.50
19.347,13.60
19.496,13.70
19.644,13.80
19.792,13.90
19.937,14.00
20.083,14.10
20.227,14.20
20.372,14.30
20.521,14.40
20.669,14.50
20.819,14.60
20.968,14.70
21.116,14.80
21.263,14.90
21.408,15.00
21.554,15.10
21.698,15.20
21.843,15.30
21.991,15.40
22.141,15.50
22.290,15.60
22.440,15.70
22.588,15.80
22.735,15.90
22.881,16.00
23.025,16.10
23.168,16.20
23.311,16.30
23.456,16.40
23.602,16.50
23.749,16.60
23.896,16.70
24.041,16.80
24.185,16.90
24.327,17.00
24.468,17.10
24.607,17.20
24.746,17.30
24.888,17.40
25.032,17.50
25.176,17.60
25.320,17.70
25.464,17.80
25.608,17.90
25.750,18.00
25.892,18.10
26.035,18.20
26.179,18.30
26.326,18.40
26.474,18.50
26.624,18.60
26.773,18.70
26.922,18.80
27.070,18.90
27.216,19.00
27.362,19.10
27.508,19.20
27.654,19.30
27.804,19.40
27.955,19.50
28.107,19.60
28.260,19.70
28.411,19.80
28.561,19.90
28.710,20.00
28.859,20.10
29.008,20.20
29.157,20.30
29.310,20.40
29.463,20.50
29.617,20.60
29.771,20.70
29.924,20.80
30.077,20.90
30.228,21.00
30.380,21.10
30.532,21.20
30.687,21.30
30.845,21.40
31.007,21.50
31.172,21.60
31.337,21.70
31.503,21.80
31.669,21.90
31.835,22.00
32.001,22.10
32.167,22.20
32.335,22.30
32.509,22.40
32.687,22.50
32.866,22.60
33.047,22.70
33.228,22.80
33.408,22.90
33.584,23.00
33.760,23.10
33.935,23.20
34.110,23.30
34.289,23.40
34.468,23.50
34.646,23.60
34.822,23.70
34.996,23.80
35.168,23.90
35.337,24.00
35.504,24.10
35.668,24.20
35.833,24.30
35.999,24.40
36.164,24.50
36.328,24.60
36.490,24.70
36.649,24.80
36.806,24.90
36.961,25.00
37.117,25.10
37.272,25.20
37.429,25.30
37.589,25.40
37.751,25.50
37.914,25.60
38.077,25.70
38.240,25.80
38.403,25.90
38.564,26.00
38.727,26.10
38.888,26.20
39.052,26.30
39.219,26.40
39.387,26.50
39.555,26.60
39.722,26.70
39.888,26.80
40.052,26.90
40.214,27.00
40.375,27.10
40.535,27.20
40.695,27.30
40.857,27.40
41.020,27.50
41.183,27.60
41.344,27.70
41.503,27.80
41.661,27.90
41.816,28.00
